Removed Pin From Net: NetName=+5_USB_IN Pin=C?-1
Remove Pin from Net: Failed to remove Pin
Removed Pin From Net: NetName=GND Pin=C?-2
Remove Pin from Net: Failed to remove Pin
Removed Pin From Net: NetName=+5_USB_IN Pin=Q4-1
Removed Pin From Net: NetName=BAT_PACK_12V6 Pin=Q4-2
Removed Pin From Net: NetName=GND Pin=R?-1
Removed Pin From Net: NetName=+5_USB_IN Pin=R?-2
Removed Pin From Net: NetName=BAT1_STDBY* Pin=U7-6
Removed Pin From Net: NetName=BAT1_CHRG* Pin=U7-7
Removed Pin From Net: NetName=BAT3_STDBY* Pin=U9-6
Removed Pin From Net: NetName=BAT3_CHRG* Pin=U9-7
Removed Member From Class: ClassName=CHARGING Member=C?
Removed Member From Class: ClassName=CHARGING Member=Q7
Removed Member From Class: ClassName=CHARGING Member=R?
Change Component Footprint: Designator=Q4 Old Footprint=AO-SOT-23-3L_V New Footprint=FS8205
Change Component Comment : Designator=Q4 Old Comment=AO3401A New Comment=FS8205
Change Managed Component Library Link : Designator=Q4 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID= Old ItemGUID=E4880C0C-78B9-4EF8-9661-D64A35F7776E New ItemGUID= Old RevisionGUID=568CE6B9-0C9D-4FD1-885A-56DDBCD703A6 New RevisionGUID=
Change component parameters: Designator = "Q4" ("Q4"); Footprint = "AO-SOT-23-3L_V"; UniqueID = "\NCZTMXIQ" ("\NCZTMXIQ")
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_5.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 5, 10/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/degreesC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=R39(RESC2013X70X40ML20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ6ENF1201V"; VariantName = "[No Variations]"
Added Component: Designator=R40(RESC2013X60X35ML10T20)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_5.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 5, 10/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.079inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1KOhm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/degreesC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=R41(RESC2013X60X35ML10T20)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_5.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 5, 10/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/degreesC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=R42(RESC2013X70X40ML20T20)
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Part Number"; Value = "ERJ6ENF1201V"; VariantName = "[No Variations]"
Added Component: Designator=R43(RESC2013X60X35ML10T20)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_5.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 5, 10/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "0.079inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "1KOhm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/degreesC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Component: Designator=R44(RESC2013X60X35ML10T20)
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Composition"; Value = "ThickFilm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet URL"; Value = "http://www.yageo.com/NewPortal/yageodocoutput?fileName=/pdf/R-Chip/PYu-RC_Group_51_RoHS_L_5.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Datasheet Version"; Value = "Rev. 5, 10/2016"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "0.024inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "LeadFree"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Pitch"; Value = "0.4mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Yageo"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer URL"; Value = "http://www.yageo.com/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "155degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Power Dissipation"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Military Standard"; Value = "Not"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55degC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Pins"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number of Terminations"; Value = "2"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Description"; Value = "2-Pin Surface Mounted Device, Body 2 x 1.25 mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Reference"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "TapeandReel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Power Rating"; Value = "125mW"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "Unknown"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Resistance"; Value = "100Ohm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHSCompliant"; Value = "true"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Coefficient"; Value = "100ppm/degreesC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "1%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "150V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Pin To Net: NetName=BAT_PACK_12V6 Pin=BAT3-1
Added Pin To Net: NetName=BAT_PACK_12V6 Pin=C29-1
Added Pin To Net: NetName=BAT_PACK_12V6 Pin=C30-1
Added Pin To Net: NetName=+5_USB_IN Pin=C31-1
Added Pin To Net: NetName=GND Pin=C31-2
Added Pin To Net: NetName=+5_USB_IN Pin=C34-1
Added Pin To Net: NetName=GND Pin=C34-2
Added Pin To Net: NetName=GND Pin=C36-2
Add Pin To Net: Unknown Pin: Pin Q3-5
Add Pin To Net: Unknown Pin: Pin Q5-5
Added Pin To Net: NetName=GND Pin=Q5-S1
Added Pin To Net: NetName=GND Pin=R36-1
Added Pin To Net: NetName=BAT_PACK_12V6 Pin=R38-1
Added Pin To Net: NetName=BAT_PACK_12V6 Pin=R38-2
Added Pin To Net: NetName=GND Pin=R39-1
Added Pin To Net: NetName=GND Pin=R42-1
Added Pin To Net: NetName=GND Pin=R43-1
Added Pin To Net: NetName=GND Pin=U7-1
Added Pin To Net: NetName=GND Pin=U7-3
Added Pin To Net: NetName=BAT_PACK_12V6 Pin=U7-5
Added Pin To Net: NetName=BAT3_STDBY* Pin=U7-6
Added Pin To Net: NetName=BAT3_CHRG* Pin=U7-7
Added Pin To Net: NetName=GND Pin=U8-1
Added Pin To Net: NetName=GND Pin=U8-3
Added Pin To Net: NetName=GND Pin=U9-1
Added Pin To Net: NetName=GND Pin=U9-3
Added Pin To Net: NetName=BAT1_STDBY* Pin=U9-6
Added Pin To Net: NetName=BAT1_CHRG* Pin=U9-7
Added Pin To Net: NetName=BAT_PACK_12V6 Pin=U15-5
Added Pin To Net: NetName=BAT1_G1 Pin=Q5-G1
Added Pin To Net: NetName=BAT1_G1 Pin=U17-1
Added Net: Name=BAT1_G1
Added Pin To Net: NetName=BAT1_G2 Pin=Q5-G2
Added Pin To Net: NetName=BAT1_G2 Pin=U17-3
Added Net: Name=BAT1_G2
Added Pin To Net: NetName=BAT2_G1 Pin=Q4-G1
Added Pin To Net: NetName=BAT2_G1 Pin=U16-1
Added Net: Name=BAT2_G1
Added Pin To Net: NetName=BAT2_G2 Pin=Q4-G2
Added Pin To Net: NetName=BAT2_G2 Pin=U16-3
Added Net: Name=BAT2_G2
Added Pin To Net: NetName=BAT3_G1 Pin=Q3-G1
Added Pin To Net: NetName=BAT3_G1 Pin=U15-1
Added Net: Name=BAT3_G1
Added Pin To Net: NetName=BAT3_G2 Pin=Q3-G2
Added Pin To Net: NetName=BAT3_G2 Pin=U15-3
Added Net: Name=BAT3_G2
Added Pin To Net: NetName=BAT_PACK_4V2 Pin=BAT1-1
Added Pin To Net: NetName=BAT_PACK_4V2 Pin=C35-1
Added Pin To Net: NetName=BAT_PACK_4V2 Pin=C36-1
Added Pin To Net: NetName=BAT_PACK_4V2 Pin=R44-1
Added Pin To Net: NetName=BAT_PACK_4V2 Pin=R44-2
Added Pin To Net: NetName=BAT_PACK_4V2 Pin=U9-5
Added Pin To Net: NetName=BAT_PACK_4V2 Pin=U17-5
Added Net: Name=BAT_PACK_4V2
Added Pin To Net: NetName=BAT_PACK_8V4 Pin=BAT2-1
Added Pin To Net: NetName=BAT_PACK_8V4 Pin=C32-1
Added Pin To Net: NetName=BAT_PACK_8V4 Pin=C33-1
Added Pin To Net: NetName=BAT_PACK_8V4 Pin=R41-1
Added Pin To Net: NetName=BAT_PACK_8V4 Pin=R41-2
Added Pin To Net: NetName=BAT_PACK_8V4 Pin=U8-5
Added Pin To Net: NetName=BAT_PACK_8V4 Pin=U16-5
Added Net: Name=BAT_PACK_8V4
Added Pin To Net: NetName=NetBAT1_2 Pin=BAT1-2
Added Pin To Net: NetName=NetBAT1_2 Pin=C35-2
Added Pin To Net: NetName=NetBAT1_2 Pin=Q5-S2
Added Pin To Net: NetName=NetBAT1_2 Pin=U17-6
Added Net: Name=NetBAT1_2
Added Pin To Net: NetName=NetBAT2_2 Pin=BAT2-2
Added Pin To Net: NetName=NetBAT2_2 Pin=C32-2
Added Pin To Net: NetName=NetBAT2_2 Pin=Q4-S2
Added Pin To Net: NetName=NetBAT2_2 Pin=U16-6
Added Net: Name=NetBAT2_2
Added Pin To Net: NetName=NetBAT3_2 Pin=BAT3-2
Added Pin To Net: NetName=NetBAT3_2 Pin=C29-2
Added Pin To Net: NetName=NetBAT3_2 Pin=Q3-S2
Added Pin To Net: NetName=NetBAT3_2 Pin=U15-6
Added Net: Name=NetBAT3_2
Added Pin To Net: NetName=NetC30_2 Pin=C30-2
Added Pin To Net: NetName=NetC30_2 Pin=Q3-S1
Added Pin To Net: NetName=NetC30_2 Pin=R37-1
Added Net: Name=NetC30_2
Added Pin To Net: NetName=NetC33_2 Pin=C33-2
Added Pin To Net: NetName=NetC33_2 Pin=Q4-S1
Added Pin To Net: NetName=NetC33_2 Pin=R40-1
Added Net: Name=NetC33_2
Added Pin To Net: NetName=NetQ4_5 Pin=Q4-D12
Added Pin To Net: NetName=NetQ4_5 Pin=Q4-D12
Added Net: Name=NetQ4_5
Added Pin To Net: NetName=NetR36_2 Pin=R36-2
Added Pin To Net: NetName=NetR36_2 Pin=U7-2
Added Net: Name=NetR36_2
Added Pin To Net: NetName=NetR37_2 Pin=R37-2
Added Pin To Net: NetName=NetR37_2 Pin=U15-2
Added Net: Name=NetR37_2
Added Pin To Net: NetName=NetR39_2 Pin=R39-2
Added Pin To Net: NetName=NetR39_2 Pin=U8-2
Added Net: Name=NetR39_2
Added Pin To Net: NetName=NetR40_2 Pin=R40-2
Added Pin To Net: NetName=NetR40_2 Pin=U16-2
Added Net: Name=NetR40_2
Added Pin To Net: NetName=NetR42_2 Pin=R42-2
Added Pin To Net: NetName=NetR42_2 Pin=U9-2
Added Net: Name=NetR42_2
Added Pin To Net: NetName=NetR43_2 Pin=R43-2
Added Pin To Net: NetName=NetR43_2 Pin=U17-2
Added Net: Name=NetR43_2
Added Member To Class: ClassName=CHARGING Member=Component C29 100nF 16V 0805
Added Member To Class: ClassName=CHARGING Member=Component C30 10uF 25V 0805
Added Member To Class: ClassName=CHARGING Member=Component C31 100nF 16V 0805
Added Member To Class: ClassName=CHARGING Member=Component C32 100nF 16V 0805
Added Member To Class: ClassName=CHARGING Member=Component C33 10uF 25V 0805
Added Member To Class: ClassName=CHARGING Member=Component C34 100nF 16V 0805
Added Member To Class: ClassName=CHARGING Member=Component C35 100nF 16V 0805
Added Member To Class: ClassName=CHARGING Member=Component C36 10uF 25V 0805
Added Member To Class: ClassName=CHARGING Member=Component R36 1K2 1% 0805
Added Member To Class: ClassName=CHARGING Member=Component R37 1k 5% 0805
Added Member To Class: ClassName=CHARGING Member=Component R38 100R 5% 0805
Added Member To Class: ClassName=CHARGING Member=Component R39 1K2 1% 0805
Added Member To Class: ClassName=CHARGING Member=Component R40 1k 5% 0805
Added Member To Class: ClassName=CHARGING Member=Component R41 100R 5% 0805
Added Member To Class: ClassName=CHARGING Member=Component R42 1K2 1% 0805
Added Member To Class: ClassName=CHARGING Member=Component R43 1k 5% 0805
Added Member To Class: ClassName=CHARGING Member=Component R44 100R 5% 0805
